tiempo,x,y,z,xe,ye,ze
0.000,0.50,21.00,0.10,1.00,21.00,0.10
0.001,0.50,21.00,0.10,1.00,21.00,0.10
0.002,0.50,21.00,0.10,1.00,21.00,0.10
0.003,0.50,21.00,0.10,1.00,20.99,0.10
0.004,0.50,21.00,0.10,1.00,20.99,0.10
0.005,0.50,21.00,0.10,1.00,20.99,0.10
0.006,0.50,21.00,0.10,1.00,20.99,0.10
0.007,0.50,20.99,0.10,0.99,20.99,0.10
0.008,0.50,20.99,0.10,0.99,20.98,0.10
0.009,0.50,20.99,0.10,0.99,20.98,0.10
0.010,0.50,20.99,0.10,0.99,20.98,0.10
0.011,0.50,20.99,0.10,0.99,20.98,0.10
0.012,0.50,20.99,0.10,0.99,20.98,0.10
0.013,0.50,20.99,0.10,0.99,20.97,0.10
0.014,0.50,20.99,0.10,0.99,20.97,0.10
0.015,0.50,20.99,0.10,0.99,20.97,0.10
0.016,0.50,20.99,0.10,0.99,20.97,0.10
0.017,0.50,20.99,0.10,0.99,20.96,0.10
0.018,0.50,20.99,0.10,0.99,20.96,0.10
0.019,0.50,20.99,0.10,0.99,20.96,0.10
0.020,0.50,20.98,0.10,0.99,20.96,0.10
0.021,0.50,20.98,0.10,0.99,20.96,0.10
0.022,0.50,20.98,0.10,0.98,20.95,0.10
0.023,0.50,20.98,0.10,0.98,20.95,0.10
0.024,0.50,20.98,0.10,0.98,20.95,0.10
0.025,0.50,20.98,0.10,0.98,20.95,0.10
0.026,0.50,20.98,0.10,0.98,20.95,0.10
0.027,0.50,20.98,0.10,0.98,20.94,0.10
0.028,0.50,20.98,0.10,0.98,20.94,0.10
0.029,0.50,20.98,0.10,0.98,20.94,0.10
0.030,0.50,20.98,0.10,0.98,20.94,0.10
0.031,0.50,20.98,0.10,0.98,20.94,0.10
0.032,0.50,20.98,0.10,0.98,20.93,0.10
0.033,0.50,20.98,0.10,0.98,20.93,0.10
0.034,0.50,20.97,0.10,0.98,20.93,0.10
0.035,0.50,20.97,0.10,0.98,20.93,0.10
0.036,0.50,20.97,0.10,0.97,20.93,0.10
0.037,0.51,20.97,0.10,0.97,20.92,0.10
0.038,0.51,20.97,0.10,0.97,20.92,0.10
0.039,0.51,20.97,0.10,0.97,20.92,0.10
0.040,0.51,20.97,0.10,0.97,20.92,0.10
0.041,0.51,20.97,0.10,0.97,20.92,0.10
0.042,0.51,20.97,0.10,0.97,20.91,0.10
0.043,0.51,20.97,0.11,0.97,20.91,0.10
0.044,0.51,20.97,0.11,0.97,20.91,0.10
0.045,0.51,20.97,0.11,0.97,20.91,0.10
0.046,0.51,20.97,0.11,0.97,20.91,0.10
0.047,0.51,20.96,0.11,0.97,20.90,0.10
0.048,0.51,20.96,0.11,0.97,20.90,0.10
0.049,0.51,20.96,0.11,0.97,20.90,0.10
0.050,0.51,20.96,0.11,0.97,20.90,0.10
0.051,0.51,20.96,0.11,0.96,20.90,0.10
0.052,0.51,20.96,0.11,0.96,20.89,0.10
0.053,0.51,20.96,0.11,0.96,20.89,0.10
0.054,0.51,20.96,0.11,0.96,20.89,0.10
0.055,0.51,20.96,0.11,0.96,20.89,0.10
0.056,0.51,20.96,0.11,0.96,20.89,0.10
0.057,0.51,20.96,0.11,0.96,20.88,0.10
0.058,0.51,20.96,0.11,0.96,20.88,0.10
0.059,0.51,20.96,0.11,0.96,20.88,0.10
0.060,0.51,20.95,0.11,0.96,20.88,0.10
0.061,0.51,20.95,0.11,0.96,20.88,0.10
0.062,0.51,20.95,0.11,0.96,20.87,0.10
0.063,0.51,20.95,0.11,0.96,20.87,0.10
0.064,0.51,20.95,0.11,0.96,20.87,0.10
0.065,0.51,20.95,0.11,0.96,20.87,0.09
0.066,0.51,20.95,0.11,0.96,20.87,0.09
0.067,0.51,20.95,0.11,0.95,20.86,0.09
0.068,0.51,20.95,0.11,0.95,20.86,0.09
0.069,0.51,20.95,0.11,0.95,20.86,0.09
0.070,0.51,20.95,0.11,0.95,20.86,0.09
0.071,0.51,20.95,0.11,0.95,20.86,0.09
0.072,0.51,20.95,0.11,0.95,20.86,0.09
0.073,0.51,20.94,0.11,0.95,20.85,0.09
0.074,0.51,20.94,0.11,0.95,20.85,0.09
0.075,0.51,20.94,0.11,0.95,20.85,0.09
0.076,0.51,20.94,0.11,0.95,20.85,0.09
0.077,0.51,20.94,0.11,0.95,20.85,0.09
0.078,0.51,20.94,0.11,0.95,20.84,0.09
0.079,0.51,20.94,0.11,0.95,20.84,0.09
0.080,0.51,20.94,0.11,0.95,20.84,0.09
0.081,0.51,20.94,0.11,0.95,20.84,0.09
0.082,0.51,20.94,0.11,0.95,20.84,0.09
0.083,0.51,20.94,0.11,0.94,20.83,0.09
0.084,0.51,20.94,0.11,0.94,20.83,0.09
0.085,0.51,20.94,0.11,0.94,20.83,0.09
0.086,0.51,20.93,0.11,0.94,20.83,0.09
0.087,0.51,20.93,0.11,0.94,20.83,0.09
0.088,0.51,20.93,0.11,0.94,20.82,0.09
0.089,0.51,20.93,0.11,0.94,20.82,0.09
0.090,0.51,20.93,0.11,0.94,20.82,0.09
0.091,0.51,20.93,0.11,0.94,20.82,0.09
0.092,0.51,20.93,0.11,0.94,20.82,0.09
